name,item_kind,serving_g,kcal_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sugar_100g,sodium_100g,role,cuisine,diet_tags,usda_description,image_url
Mustard Greens,component,100,27.0,2.9,4.7,0.4,3.2,1.3,20.0,veg,intl,"balanced,wl,keto,diab","mustard greens, raw",https://live.staticflickr.com/65535/48358717807_0fdb29f69c_b.jpg
Okra (Bamia),component,100,33.0,1.9,7.4,0.2,3.2,1.5,7.0,veg,egyptian,"balanced,wl,keto,diab","okra, raw",https://live.staticflickr.com/8590/16017594777_be4a843a8c_b.jpg
Onion,component,100,40.0,1.1,9.3,0.1,1.7,4.2,4.0,veg,intl,"balanced,wl,keto,diab","onions, raw",https://live.staticflickr.com/21/27978405_a95f7ffc67_b.jpg
Parsley,component,100,36.0,3.0,6.3,0.8,3.3,0.8,56.0,veg,egyptian,"balanced,wl,keto,diab","parsley, fresh",https://live.staticflickr.com/3169/2705556806_b263a7bbdb_b.jpg
Pumpkin,component,100,26.0,1.0,6.5,0.1,0.5,2.8,1.0,veg,intl,"balanced,wl,keto,diab","pumpkin, raw",https://live.staticflickr.com/3671/10180255635_1d1854b043_b.jpg
Radish,component,100,16.0,0.7,3.4,0.1,1.6,1.9,39.0,veg,intl,"balanced,wl,keto,diab","radishes, raw",https://live.staticflickr.com/7323/8962116488_abee80237f_b.jpg
Romaine Lettuce,component,100,17.0,1.2,3.3,0.3,2.1,1.2,8.0,veg,intl,"balanced,wl,keto,diab","lettuce, cos or romaine, raw",https://live.staticflickr.com/6070/6089391116_f42ff759f1_b.jpg
Shallot,component,100,72.0,2.5,16.8,0.1,3.2,7.9,12.0,veg,intl,"balanced,wl","shallots, raw",https://live.staticflickr.com/386/32335829442_72fe556fc2_b.jpg
Snow Peas,component,100,42.0,2.8,7.6,0.2,2.6,4.0,4.0,veg,intl,"balanced,wl,keto,diab","peas, edible-podded, raw",https://live.staticflickr.com/3263/2704733439_48a3379f4f_b.jpg
Spinach,component,100,23.0,2.9,3.6,0.4,2.2,0.4,79.0,veg,intl,"balanced,wl,keto,diab","spinach, raw",https://live.staticflickr.com/6155/6188104920_3ff1caa3f5_b.jpg
Squash,component,100,27.0,0.7,6.5,0.3,1.4,2.5,254.0,veg,intl,"balanced,wl,keto,diab","squash, winter, spaghetti, cooked, boiled, drained, or baked, with salt",https://live.staticflickr.com/2040/2956470308_5fbabc7ea1_b.jpg
Sweet Corn,component,100,98.0,3.3,23.5,0.8,2.8,0.0,5.0,veg,intl,"balanced,wl,diab","corn, sweet, white, frozen, kernels on cob, unprepared",https://live.staticflickr.com/2487/3752700730_1595aa8c29_b.jpg
Swiss Chard,component,100,19.0,1.8,3.7,0.2,1.6,1.1,213.0,veg,intl,"balanced,wl,keto,diab","chard, swiss, raw",https://live.staticflickr.com/3593/3557729503_6d8421907f_b.jpg
Tomato,component,100,18.0,1.0,4.0,0.1,0.7,2.5,11.0,veg,intl,"balanced,wl,keto,diab","tomatoes, red, ripe, cooked",https://live.staticflickr.com/3062/2779759741_af21c3e9c0_b.jpg
